labels,en,it
_pb_interp_title,Interpolating data,Interpolazione dati
_interp_success_title,Interpolation completed,Interpolazione completata
_interp_success_message1,Points were correctly interpolated.,I dati sono stati correttamente interpolati.
_interp_success_message2,Single polygon's raster were saved in the folder,I raster dei singoli poligoni sono stati salvati nella cartella
_interp_success_message3,Final raster was saved here:,Il raster finale \u00E8 stato salvato qui:
_modal_loadborders_title,Select borders' vector files,Seleziona i poligonali dei bordi
_border_type,Identify borders by:,Metodo di identificazione dei bordi
_border_type_files,Loading a vector file,Carica da files
_border_type_bbox,Using points' bounding box,Bounding box dei punti
_borderpath_label,Input folder,Cartella di input
_borderpath_button,Change,Cambia
_borderpath_sfb,Select the folder containing borders' vector files,Seleziona la cartella contenente i file poligonali dei bordi
_borders_showall,Show all files,Mostra tutti i file
_select_uid_which,Univocal geometry ID,ID univoco delle geometrie
_select_uid_which_no,Dissolve all,Dissolvi tutto
_select_uid_which_record,Line number,Numero di riga
_select_uid_which_attr,Select an attribute,Scegli un attributo
_bbox_buffer,Buffer radius to be applied to points (m),Raggio del buffer da applicare ai punti (m)
_tbl_empty,No files were found,Nessun file vettoriale trovato
_invalid_file,Invalid file,File non valido
_borders_polygon_raw_invalid_message,File %f is not a valid polygon vector file.,Il file %f non u00E8 un vettoriale poligonale valido.
_modal_loadinputpts_title,Select vector files of points to be interpolated,Seleziona i file dei punti da interpolare
_inputptspath_label,Input folder,Cartella di input
_inputptspath_button,Change,Cambia
_inputptspath_sfb,Select the folder containing vector files of points to be interpolated,Seleziona la cartella contenente i files con i punti da interpolare
_inputptsfiletype_vect,Vector files,Vettoriale
_inputptsfiletype_txt,Text files,File di testo
_inputpts_showall,Show all files,Mostra tutti i file
_select_inputvar,Variable to be interpolated,Variabile da interpolare
_select_xvar,Coordinate X,Coordinata X
_select_yvar,Coordinate Y,Coordinata Y
_inputpts_sp_invalid_message,File %f is not a valid point vector file, or it does not contain any numeric field.,Il file %f non \u00E8 un vettoriale puntiforme valido oppure non contiene campi numerici.
_inputpts_table_invalid_message,File %f is not a valid table file, or it does not contain any numeric field.,Il file %f non \u00E8 un tabellare riconosciuto, oppure non contiene campi numerici.
_modal_variogram_title,Interpolation settings,Impostazioni di interpolazione
_modeltype,Model type,Tipo di modello
_modeltype_exp,Exponential,Esponenziale
_modeltype_sph,Spheroidal,Sferoidale
_modeltype_gau,Gaussian,Gaussiano
_modeltype_wav,Wavelength,Wavelength
_variogram_param_label,Variogram parameters,Parametri del variogramma
_variogram_psill,pSill,<em>pSill</em>
_variogram_range,Range,<em>Range</em>
_variogram_nugget,Nugget,<em>Nugget</em>
_autofit_vgm,Optimise,Ottimizza
_interp_sampling,Points to be used,Punti da utilizzare
_vgm_cutoff,Maximum distance,Massima distanza
_semiauto_title,Settings,Impostazioni
_semiauto_autorange,Variogram range,<em>Range</em> del variogramma
_hist_xlab,Selected variable,Variabile selezionata
_hist_ylab,# Points,# Punti
_mapgroup_ortophoto,Ortophoto,Ortofoto
_mapgroup_map,Map,Mappa
_mapgroup_points,Used points,Punti utilizzati
_mapgroup_raster,Interpolated raster,Raster interpolato
